transaction_id,account_id,product_id,transaction_type,amount,price,quantity,transaction_date,fee,status
TXN29883159,ACCT2567570,PROD1019,purchase,98886.41,3.4598,28581.54,2026-05-01 11:36:00,127.01,completed
TXN92814581,ACCT8403961,PROD1010,dividend,9216.01,5.3296,1729.21,2026-05-01 09:35:00,13.16,pending
TXN28630877,ACCT9471437,PROD1028,purchase,180900.22,9.5076,19026.91,2026-05-01 11:57:00,429.74,completed
TXN51782508,ACCT5857485,PROD1034,redemption,33082.41,2.3059,14346.85,2026-05-01 15:18:00,44.99,completed
TXN55649967,ACCT1563095,PROD1013,purchase,72008.0,9.3235,7723.28,2026-05-01 11:59:00,213.44,pending
TXN98811268,ACCT3817742,PROD1013,transfer_in,448485.7,7.9687,56280.91,2026-05-01 15:01:00,860.24,completed
TXN21607200,ACCT1554127,PROD1016,redemption,42738.82,4.8002,8903.55,2026-05-01 11:40:00,124.48,completed
TXN10862236,ACCT2810158,PROD1046,purchase,83812.2,6.4762,12941.57,2026-05-01 12:55:00,90.05,completed
TXN34966250,ACCT9987368,PROD1042,dividend,316.06,2.3416,134.98,2026-05-01 14:51:00,0.57,completed
TXN61844258,ACCT3689102,PROD1041,transfer_out,251802.53,5.8705,42892.86,2026-05-01 09:34:00,263.89,completed
TXN19573872,ACCT4462228,PROD1034,purchase,155693.99,9.2558,16821.24,2026-05-01 10:16:00,413.86,completed
TXN52019479,ACCT6350509,PROD1008,transfer_in,35746.48,5.5705,6417.1,2026-05-01 12:06:00,105.09,completed
TXN91985520,ACCT6693616,PROD1032,transfer_out,394774.99,9.9149,39816.34,2026-05-01 11:25:00,597.97,completed
TXN70355992,ACCT6857602,PROD1000,dividend,1086.6,9.4178,115.38,2026-05-01 13:43:00,2.3,completed
TXN71874426,ACCT8072652,PROD1020,transfer_in,252037.71,9.8902,25483.58,2026-05-01 09:22:00,444.18,completed
TXN43494931,ACCT7237191,PROD1032,purchase,115984.01,8.2318,14089.75,2026-05-01 09:01:00,215.54,completed
