check_name,failed_records,status,check_time
dwd_negative_aum,0,PASS,2026-06-24 21:51:23
dwd_invalid_date,6092,FAIL,2026-06-24 21:51:23
dwd_null_customer_id,0,PASS,2026-06-24 21:51:23
dws_invalid_value_level,0,PASS,2026-06-24 21:51:23
dws_aum_mismatch,0,PASS,2026-06-24 21:51:23
ads_ranking_gap,0,PASS,2026-06-24 21:51:23
dwd_dws_aum_mismatch,0,PASS,2026-06-24 21:51:23
missing_customer_aum,375,FAIL,2026-06-24 21:51:23
dwd_negative_sales_amount,0,PASS,2026-06-24 21:51:23
dwd_null_product_id,0,PASS,2026-06-24 21:51:23
dwd_net_purchase_mismatch,0,PASS,2026-06-24 21:51:23
dws_decreasing_total_sales,0,PASS,2026-06-24 21:51:23
ads_sales_share_sum_invalid,0,PASS,2026-06-24 21:51:23
ads_branch_ranking_gap,0,PASS,2026-06-24 21:51:23
dws_total_aum_negative,0,PASS,2026-06-24 21:51:23
dws_customer_count_mismatch,0,PASS,2026-06-24 21:51:23
dws_coverage_rate_range,0,PASS,2026-06-24 21:51:23
ads_growth_rate_range,0,PASS,2026-06-24 21:51:23
ads_conversion_rate_range,0,PASS,2026-06-24 21:51:23
multi_aum_consistency,1,FAIL,2026-06-24 21:51:23
anomaly_level_valid,0,PASS,2026-06-24 21:51:23
anomaly_deviation_calc,0,PASS,2026-06-24 21:51:23
dws_ods_customer_mismatch,0,PASS,2026-06-24 21:51:23
dwd_invalid_risk_match_flag,0,PASS,2026-06-24 21:51:23
dwd_negative_risk_gap,0,PASS,2026-06-24 21:51:23
dwd_invalid_risk_level,0,PASS,2026-06-24 21:51:23
dws_invalid_compliance_status,0,PASS,2026-06-24 21:51:23
dws_mismatch_ratio_range,0,PASS,2026-06-24 21:51:23
dws_holding_count_mismatch,0,PASS,2026-06-24 21:51:23
ads_invalid_alert_level,0,PASS,2026-06-24 21:51:24
ads_invalid_alert_type,0,PASS,2026-06-24 21:51:24
dwd_dws_mismatch_count_mismatch,0,PASS,2026-06-24 21:51:24
missing_risk_match_data,-1,ERROR,2026-06-24 21:51:24
dwd_negative_amount,0,PASS,2026-06-24 21:51:24
dws_negative_frequency,0,PASS,2026-06-24 21:51:24
dws_invalid_churn_level,0,PASS,2026-06-24 21:51:24
dws_invalid_asset_trend,0,PASS,2026-06-24 21:51:24
ads_negative_risk_score,0,PASS,2026-06-24 21:51:24
ads_invalid_churn_level,0,PASS,2026-06-24 21:51:24
