字段,值
需求名称,客户资产价值分析体系
需求标识,option_a
表名,ads_customer_aum_daily
中文表名,客户AUM日指标表
层级,ADS
创建日期,2026-06-10
最后更新,2026-06-10

字段名,数据类型,中文注释,是否主键,是否可空,默认值,计算逻辑
stat_date,VARCHAR(20),统计日期,是,否,,
customer_id,VARCHAR(50),客户ID,是,否,,
customer_name,VARCHAR(100),客户姓名,否,否,,"CONCAT(first_name, ' ', last_name)"
city,VARCHAR(50),城市,否,否,,
holding_market_value,"DECIMAL(18,2)",持仓市值,否,否,,
cash_balance,"DECIMAL(18,2)",现金余额,否,否,,0.0
total_aum,"DECIMAL(18,2)",总资产规模,否,否,,holding_market_value
dm_src_info,VARCHAR(100),数据来源表,否,否,,'dwd_customer_asset_daily'
etl_load_time,DATETIME,ETL加载时间,否,否,,NOW()

加工逻辑项,说明
数据来源,"dwd_customer_asset_daily, ods_customer"
关联条件,dwd.customer_id = ods_customer.customer_id
过滤条件,stat_date = MAX(stat_date)
聚合粒度,stat_date + customer_id
更新策略,全量刷新，日频
ETL脚本,etl/etl_ads_customer_aum_daily.sql
