字段,值
需求名称,客户资产价值分析体系
需求标识,option_a
表名,ads_customer_aum_ranking
中文表名,客户AUM排名表
层级,ADS
创建日期,2026-06-10
最后更新,2026-06-10

字段名,数据类型,中文注释,是否主键,是否可空,默认值,计算逻辑
stat_date,VARCHAR(20),统计日期,是,否,,
ranking,INT,排名,是,否,,ROW_NUMBER() OVER (ORDER BY total_aum DESC)
customer_id,VARCHAR(50),客户ID,否,否,,
customer_name,VARCHAR(100),客户姓名,否,否,,"CONCAT(first_name, ' ', last_name)"
city,VARCHAR(50),城市,否,否,,
total_aum,"DECIMAL(18,2)",总资产规模,否,否,,
customer_value_level,VARCHAR(30),客户价值等级,否,否,,
avg_daily_aum_30d,"DECIMAL(18,2)",30日日均AUM,否,否,,
total_purchase_amount,"DECIMAL(18,2)",总申购金额,否,否,,
total_redemption_amount,"DECIMAL(18,2)",总赎回金额,否,否,,
total_profit_loss,"DECIMAL(18,2)",总盈亏,否,否,,
net_asset_change,"DECIMAL(18,2)",资产净变动,否,否,,
account_count,INT,账户数,否,否,,
holding_product_count,INT,持仓产品数,否,否,,
dm_src_info,VARCHAR(100),数据来源表,否,否,,'dws_customer_value_profile'
etl_load_time,DATETIME,ETL加载时间,否,否,,NOW()

加工逻辑项,说明
数据来源,dws_customer_value_profile
关联条件,无（单表查询）
过滤条件,stat_date = MAX(stat_date)
聚合粒度,stat_date + ranking
更新策略,全量刷新，日频
ETL脚本,etl/etl_ads_customer_aum_ranking.sql
