字段,值
需求名称,客户资产价值分析体系
需求标识,option_a
表名,dws_customer_value_profile
中文表名,客户价值画像宽表
层级,DWS
创建日期,2026-06-10
最后更新,2026-06-10

字段名,数据类型,中文注释,是否主键,是否可空,默认值,计算逻辑
stat_date,VARCHAR(20),统计日期,是,否,,
customer_id,VARCHAR(50),客户ID,是,否,,
first_name,VARCHAR(50),名,否,否,,
last_name,VARCHAR(50),姓,否,否,,
city,VARCHAR(50),城市,否,否,,
total_aum,"DECIMAL(18,2)",总资产规模,否,否,,SUM(holding_market_value)
customer_value_level,VARCHAR(30),客户价值等级,否,否,,CASE WHEN total_aum >= 1000000 THEN high_net_worth WHEN >= 100000 THEN middle ELSE regular END
daily_aum,"DECIMAL(18,2)",当日AUM,否,否,,SUM(holding_market_value)
avg_daily_aum_30d,"DECIMAL(18,2)",30日日均AUM,否,否,,AVG(total_aum) OVER 30天窗口
avg_daily_aum_90d,"DECIMAL(18,2)",90日日均AUM,否,否,,AVG(total_aum) OVER 90天窗口
aum_change_30d,"DECIMAL(18,2)",30日AUM变动,否,否,,当前total_aum - 30天前total_aum
total_purchase_amount,"DECIMAL(18,2)",总申购金额,否,否,,SUM(purchase_amount)
total_redemption_amount,"DECIMAL(18,2)",总赎回金额,否,否,,SUM(redemption_amount)
total_profit_loss,"DECIMAL(18,2)",总盈亏,否,否,,SUM(profit_loss)
net_asset_change,"DECIMAL(18,2)",资产净变动,否,否,,SUM(net_asset_change)
account_count,INT,账户数,否,否,,COUNT(DISTINCT account_id)
holding_product_count,INT,持仓产品数,否,否,,COUNT(*)
dm_src_info,VARCHAR(100),数据来源表,否,否,,'dwd_customer_asset_daily'
etl_load_time,DATETIME,ETL加载时间,否,否,,NOW()

加工逻辑项,说明
数据来源,"dwd_customer_asset_daily, ods_customer"
关联条件,dwd.customer_id = ods_customer.customer_id
过滤条件,ods_customer.is_current = 1
聚合粒度,stat_date + customer_id
更新策略,全量刷新，日频
ETL脚本,etl/etl_dws_customer_value_profile.sql
