字段,值
需求名称,综合财富管理驾驶舱
需求标识,option_e
表名,ads_executive_dashboard
中文表名,高管驾驶舱
层级,ADS
创建日期,2026-06-11

字段名,数据类型,中文注释,是否主键,是否可空,默认值,计算逻辑
stat_date,VARCHAR(20),统计日期,是,否,,
report_type,VARCHAR(20),报告类型,是,否,,daily/weekly/monthly
total_customers,INT,总客户数,否,否,,dws.total_customers
active_customers,INT,活跃客户数,否,否,,dws.active_customers
customer_growth_rate,DECIMAL(5;4),客户增长率(环比),否,是,,(本期客户数-上期客户数)/上期客户数
total_aum,DECIMAL(18;2),平台总AUM,否,是,,dws.total_aum
aum_growth_rate,DECIMAL(5;4),AUM增长率(环比),否,是,,(本期AUM-上期AUM)/上期AUM
avg_daily_aum,DECIMAL(18;2),日均AUM,否,是,,dws.avg_daily_aum
total_transaction_amount,DECIMAL(18;2),总交易额,否,是,,dws.total_transaction_amount
net_purchase_amount,DECIMAL(18;2),净申购金额,否,是,,dws.net_purchase_amount
transaction_growth_rate,DECIMAL(5;4),交易额增长率(环比),否,是,,(本期交易额-上期交易额)/上期交易额
total_products,INT,产品总数,否,否,,dws.total_products
active_products,INT,在售产品数,否,否,,dws.active_products
product_coverage_rate,DECIMAL(5;4),产品覆盖率,否,是,,dws.product_coverage_rate
transaction_conversion_rate,DECIMAL(5;4),交易转化率,否,是,,有交易客户数/活跃客户数
new_customers,INT,新增客户数,否,否,,dws.new_customers
churn_customers,INT,流失客户数,否,否,,dws.churn_customers
net_customer_growth,INT,客户净增数,否,是,,dws.net_customer_growth
yoy_aum_growth,DECIMAL(5;4),AUM同比增长率,否,是,,(本期AUM-去年同期AUM)/去年同期AUM
yoy_transaction_growth,DECIMAL(5;4),交易额同比增长率,否,是,,(本期交易额-去年同期交易额)/去年同期交易额
mom_aum_growth,DECIMAL(5;4),AUM环比增长率,否,是,,(本期AUM-上期AUM)/上期AUM
mom_transaction_growth,DECIMAL(5;4),交易额环比增长率,否,是,,(本期交易额-上期交易额)/上期交易额
target_achievement_rate,DECIMAL(5;4),目标达成率,否,是,,实际AUM/目标AUM
dm_src_info,VARCHAR(100),数据来源表,否,否,,'dws_platform_daily_summary'
etl_load_time,DATETIME,ETL加载时间,否,否,,NOW()

加工逻辑项,说明
数据来源,dws_platform_daily_summary
关联条件,自连接计算环比/同比
过滤条件,无
聚合粒度,stat_date + report_type
更新策略,"全量刷新，日频"
ETL脚本,etl/etl_ads_executive_dashboard.sql
